Pod,Posizione,2015,2016
IT001E90528989,vicolo  snc- (wc vicolo Eremo),0,0
IT001E92621251,via Acquanova sn,0,0
IT001E926550184,via Cimitero  sn (Cimitero S.Anna),0,0
IT001E92650303 ,viale XXIII Marzo 34 (scuole S.Anna),0,0
